gene	strain	sugar	2^-ddCt
crp	wt	lac	7.638732831283343
crp	wt	lac	4.9245776533796555
crp	wt	lac	5.039684199579482
crp	wt	lac	4.702191625134432
crp	wt	lac	1.071773462536293
crp	wt	lac	1.0717734625362916
crp	wt	lac	
crp	wt	gluc	1.0
crp	wt	gluc	1.0
crp	wt	gluc	1.0
crp	wt	gluc	1.0
crp	wt	gluc	1.0
crp	wt	gluc	1.0
crp	wt	gluc	1.0
crp	wt	gluc	1.0
crp	wt	SQ	4.924577653379673
crp	wt	SQ	1.1486983549970373
crp	wt	SQ	1.5511447618337322
crp	wt	SQ	5.924390209146256
crp	wt	SQ	4.702191625134438
crp	wt	SQ	0.8312378961427883
crp	wt	SQ	
crp	wt	SQ	
crp	Nissle	lac	1.0472941228206278
crp	Nissle	lac	1.1755479062836094
crp	Nissle	lac	2.094588245641248
crp	Nissle	lac	2.0467477839935495
crp	Nissle	lac	1.55114476183374
crp	Nissle	lac	2.244924096618745
crp	Nissle	lac	2.578740616879159
crp	Nissle	gluc	1.0
crp	Nissle	gluc	1.0
crp	Nissle	gluc	1.0
crp	Nissle	gluc	1.0
crp	Nissle	gluc	1.0
crp	Nissle	gluc	1.0
crp	Nissle	gluc	1.0
crp	Nissle	gluc	1.0
crp	Nissle	SQ	1.122462048309374
crp	Nissle	SQ	1.175547906283611
crp	Nissle	SQ	1.0472941228206252
crp	Nissle	SQ	
crp	Nissle	SQ	1.2893703084395811
crp	Nissle	SQ	1.7817974362806794
crp	Nissle	SQ	1.7817974362806772
hns	wt	lac	1.0
hns	wt	lac	1.0
hns	wt	lac	1.0
hns	wt	lac	1.0
hns	wt	lac	1.0
hns	wt	lac	1.0
hns	wt	lac	1.0
hns	wt	lac	1.0
hns	wt	gluc	1.0
hns	wt	gluc	1.0
hns	wt	gluc	1.0
hns	wt	gluc	1.0
hns	wt	gluc	1.0
hns	wt	gluc	1.0
hns	wt	gluc	1.0
hns	wt	gluc	1.0
hns	wt	SQ	1.0
hns	wt	SQ	1.0
hns	wt	SQ	1.0
hns	wt	SQ	1.0
hns	wt	SQ	1.0
hns	wt	SQ	1.0
hns	wt	SQ	1.0
hns	wt	SQ	1.0
hns	Nissle	lac	1.0
hns	Nissle	lac	1.0
hns	Nissle	lac	1.0
hns	Nissle	lac	1.0
hns	Nissle	lac	1.0
hns	Nissle	lac	1.0
hns	Nissle	lac	1.0
hns	Nissle	lac	1.0
hns	Nissle	gluc	1.0
hns	Nissle	gluc	1.0
hns	Nissle	gluc	1.0
hns	Nissle	gluc	1.0
hns	Nissle	gluc	1.0
hns	Nissle	gluc	1.0
hns	Nissle	gluc	1.0
hns	Nissle	gluc	1.0
hns	Nissle	SQ	1.0
hns	Nissle	SQ	1.0
hns	Nissle	SQ	1.0
hns	Nissle	SQ	1.0
hns	Nissle	SQ	1.0
hns	Nissle	SQ	1.0
hns	Nissle	SQ	1.0
