gene	biol_replicate	sugar	strain	day	CT	run	Sample Name	Ct_mean_ref	dCt	dCt_mean_gluc	ddCt	2^-ddCt
yihT	1	G	Nissle	day1_2	26.6	1	Nissle_yihT_G1	9.475	17.125	16.85	0.2749999999999986	0.826
yihT	1	G	Nissle	day1_1	26.3	1	Nissle_yihT_G1	9.475	16.825000000000003	16.85	-0.02499999999999858	1.017
yihT	1	G	Nissle	day2_4	26.5	2	Nissle_yihT_G1	8.575	17.925	17.625	0.3000000000000007	0.812
yihT	1	G	Nissle	day2_3	26.5	2	Nissle_yihT_G1	8.575	17.925	17.625	0.3000000000000007	0.812
yihT	1	G	Nissle	day2_2	26.2	2	Nissle_yihT_G1	8.575	17.625	17.625	0.0	1.0
yihT	1	G	Nissle	day2_1	25.6	2	Nissle_yihT_G1	8.575	17.025000000000002	17.625	-0.5999999999999979	1.516
yihT	1	G	Nissle	day1_4	25.7	1	Nissle_yihT_G1	9.475	16.225	16.85	-0.625	1.542
yihT	1	G	Nissle	day1_3	26.7	1	Nissle_yihT_G1	9.475	17.225	16.85	0.375	0.771
yihT	1	Lac	Nissle	day1_4	28.0	1	Nissle_yihT_Lac1	9.975	18.025	16.85	1.1749999999999972	0.443
yihT	1	Lac	Nissle	day2_2	25.6	2	Nissle_yihT_Lac1	9.9	15.700000000000001	17.625	-1.924999999999999	3.797
yihT	1	Lac	Nissle	day1_1	28.3	1	Nissle_yihT_Lac1	9.975	18.325000000000003	16.85	1.4750000000000014	0.36
yihT	1	Lac	Nissle	day1_2	28.1	1	Nissle_yihT_Lac1	9.975	18.125	16.85	1.2749999999999986	0.413
yihT	1	Lac	Nissle	day2_1	26.0	2	Nissle_yihT_Lac1	9.9	16.1	17.625	-1.5249999999999986	2.878
yihT	1	Lac	Nissle	day2_4	25.9	2	Nissle_yihT_Lac1	9.9	15.999999999999998	17.625	-1.6250000000000018	3.084
yihT	1	Lac	Nissle	day2_3	25.8	2	Nissle_yihT_Lac1	9.9	15.9	17.625	-1.7249999999999996	3.306
yihT	1	Lac	Nissle	day1_3	28.1	1	Nissle_yihT_Lac1	9.975	18.125	16.85	1.2749999999999986	0.413
yihT	1	SQ	Nissle	day1_2	26.0	1	Nissle_yihT_SQ1	11.299999999999999	14.700000000000001	16.85	-2.1500000000000004	4.438
yihT	1	SQ	Nissle	day2_2	28.0	2	Nissle_yihT_SQ1	10.95	17.05	17.625	-0.5749999999999993	1.49
yihT	1	SQ	Nissle	day1_1	25.5	1	Nissle_yihT_SQ1	11.299999999999999	14.200000000000001	16.85	-2.6500000000000004	6.277
yihT	1	SQ	Nissle	day1_3	24.7	1	Nissle_yihT_SQ1	11.299999999999999	13.4	16.85	-3.450000000000001	10.928
yihT	1	SQ	Nissle	day2_3	27.4	2	Nissle_yihT_SQ1	10.95	16.45	17.625	-1.1750000000000007	2.258
yihT	1	SQ	Nissle	day2_1	28.0	2	Nissle_yihT_SQ1	10.95	17.05	17.625	-0.5749999999999993	1.49
yihT	1	SQ	Nissle	day2_4	28.1	2	Nissle_yihT_SQ1	10.95	17.150000000000002	17.625	-0.47499999999999787	1.39
yihT	1	SQ	Nissle	day1_4	25.7	1	Nissle_yihT_SQ1	11.299999999999999	14.4	16.85	-2.450000000000001	5.464
yihU	1	G	Nissle	day1_1	32.2	1	Nissle_yihU_G1	9.475	22.725	22.825	-0.09999999999999787	1.072
yihU	1	G	Nissle	day1_2	32.1	1	Nissle_yihU_G1	9.475	22.625	22.825	-0.1999999999999993	1.149
yihU	1	G	Nissle	day1_3	32.6	1	Nissle_yihU_G1	9.475	23.125	22.825	0.3000000000000007	0.812
yihU	1	G	Nissle	day2_1	29.3	2	Nissle_yihU_G1	8.575	20.725	22.025000000000002	-1.3000000000000007	2.462
yihU	1	G	Nissle	day2_2	29.7	2	Nissle_yihU_G1	8.575	21.125	22.025000000000002	-0.9000000000000021	1.866
yihU	1	G	Nissle	day2_3	33.2	2	Nissle_yihU_G1	8.575	24.625000000000004	22.025000000000002	2.6000000000000014	0.165
yihU	1	G	Nissle	day2_4	30.2	2	Nissle_yihU_G1	8.575	21.625	22.025000000000002	-0.40000000000000213	1.32
yihU	1	Lac	Nissle	day2_1	36.3	2	Nissle_yihU_Lac1	9.9	26.4	22.025000000000002	4.3749999999999964	0.048
yihU	1	Lac	Nissle	day2_4	36.5	2	Nissle_yihU_Lac1	9.9	26.6	22.025000000000002	4.574999999999999	0.042
yihU	1	Lac	Nissle	day2_2	36.4	2	Nissle_yihU_Lac1	9.9	26.5	22.025000000000002	4.474999999999998	0.045
yihU	1	Lac	Nissle	day2_3	36.5	2	Nissle_yihU_Lac1	9.9	26.6	22.025000000000002	4.574999999999999	0.042
yihU	1	SQ	Nissle	day1_1	36.4	1	Nissle_yihU_SQ1	11.299999999999999	25.1	22.825	2.275000000000002	0.207
yihU	1	SQ	Nissle	day2_4	33.4	2	Nissle_yihU_SQ1	10.95	22.45	22.025000000000002	0.42499999999999716	0.745
yihU	1	SQ	Nissle	day2_3	33.0	2	Nissle_yihU_SQ1	10.95	22.05	22.025000000000002	0.02499999999999858	0.983
yihU	1	SQ	Nissle	day2_2	33.1	2	Nissle_yihU_SQ1	10.95	22.150000000000002	22.025000000000002	0.125	0.917
yihU	1	SQ	Nissle	day2_1	32.1	2	Nissle_yihU_SQ1	10.95	21.150000000000002	22.025000000000002	-0.875	1.834
yihV	1	G	Nissle	day2_3	25.2	2	Nissle_yihV_G1	8.575	16.625	16.724999999999998	-0.09999999999999787	1.072
yihV	1	G	Nissle	day1_1	24.7	1	Nissle_yihV_G1	9.475	15.225	14.875	0.34999999999999964	0.785
yihV	1	G	Nissle	day2_4	25.2	2	Nissle_yihV_G1	8.575	16.625	16.724999999999998	-0.09999999999999787	1.072
yihV	1	G	Nissle	day2_2	25.5	2	Nissle_yihV_G1	8.575	16.925	16.724999999999998	0.20000000000000284	0.871
yihV	1	G	Nissle	day1_4	24.2	1	Nissle_yihV_G1	9.475	14.725	14.875	-0.15000000000000036	1.11
yihV	1	G	Nissle	day1_3	24.3	1	Nissle_yihV_G1	9.475	14.825000000000001	14.875	-0.049999999999998934	1.035
yihV	1	G	Nissle	day1_2	24.2	1	Nissle_yihV_G1	9.475	14.725	14.875	-0.15000000000000036	1.11
yihV	1	Lac	Nissle	day2_3	25.9	2	Nissle_yihV_Lac1	9.9	15.999999999999998	16.724999999999998	-0.7249999999999996	1.653
yihV	1	Lac	Nissle	day1_4	24.6	1	Nissle_yihV_Lac1	9.975	14.625000000000002	14.875	-0.24999999999999822	1.189
yihV	1	Lac	Nissle	day1_2	24.9	1	Nissle_yihV_Lac1	9.975	14.924999999999999	14.875	0.049999999999998934	0.966
