log2FoldChange	locus_tag	geneID	product	Operon	max_L2FC_per_operon	L2FC_SQvsLac	L2FC_SQvsLac_AbsDiff	L2FC_NissleVsK12	L2FC_NissleVsK12_AbsDiff	KEGG_PATHWAY	Function_COG	baseMean	lfcSE	stat	pvalue	padj	locus_tag_k12	midpoint	COGgene	PosLeft	postRight	Strand	INTERPRO	UP_KW_BIOLOGICAL_PROCESS	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	PUBMED_ID	GENERIF_SUMMARY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	Category_COG
-7.29131215369846	b1264	trpE	anthranilate synthase subunit TrpE	687.0	-7.29131215369846	similar	3.90158068392546	specific		eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01230:Biosynthesis of amino acids,eco02024:Quorum sensing,	[EH] Anthranilate/para-aminobenzoate synthases component I  	167.020176301236	0.755789770636401	-9.64727552155002	5.04790059428779e-22	1.57147774056515e-20	b1264	1322165.0	COG0147	1321384.0	1322946.0	-	IPR005257:Anthranilate synthase component I, TrpE-like, bacterial,IPR005801:ADC synthase,IPR006805:Anthranilate synthase component I, N-terminal,IPR015890:Chorismate binding, C-terminal,IPR019999:Anthranilate synthase component I,	KW-0028~Amino-acid biosynthesis,KW-0057~Aromatic amino acid biosynthesis,KW-0822~Tryptophan biosynthesis,	KW-0460~Magnesium,KW-0479~Metal-binding,	KW-0021~Allosteric enzyme,KW-0456~Lyase,	118451,351195,2063197,4397929,4567790,4598537,4866380,4886289,4886290,4897798,4904235,4938813,5323613,5331787,5333199,5339605,6247248,6758952,7007652,7021857,7038627,7928995,8234345,9278503,10723544,11224570,12368244,12627170,12787031,14727089,15380393,15947133,16397293,16738553,16820464,17012394,17601995,21873635,24561554,	4598537:N-terminus verified by Edman degradation on complete protein,	GO:0000162~tryptophan biosynthetic process,GO:0008152~metabolic process,GO:0008652~cellular amino acid biosynthetic process,GO:0009058~biosynthetic process,GO:0009073~aromatic amino acid family biosynthetic process,GO:0044249~cellular biosynthetic process,GO:1901576~organic substance biosynthetic process,	GO:0005829~cytosol,GO:0005950~anthranilate synthase complex,	GO:0003824~catalytic activity,GO:0004049~anthranilate synthase activity,GO:0016829~lyase activity,GO:0046872~metal ion binding,	Amino acid transport and metabolism [E]
-4.92824939665402	b1262	trpC	fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase	687.0	-7.29131215369846	similar	1.42153239737545	specific		eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01230:Biosynthesis of amino acids,	[E] Indole-3-glycerol phosphate synthase   	609.990580348425	0.23620962715995	-20.8638803418323	1.14033542673763e-96	3.51451378520537e-94	b1262	1319108.0	COG0134	1318427.0	1319788.0	-	IPR001240:N-(5'phosphoribosyl) anthranilate isomerase (PRAI) like domain,IPR001468:Indole-3-glycerol phosphate synthase, conserved site,IPR011060:Ribulose-phosphate binding barrel,IPR013785:Aldolase-type TIM barrel,IPR013798:Indole-3-glycerol phosphate synthase,	KW-0028~Amino-acid biosynthesis,KW-0057~Aromatic amino acid biosynthesis,KW-0822~Tryptophan biosynthesis,		KW-0210~Decarboxylase,KW-0413~Isomerase,KW-0456~Lyase,KW-0511~Multifunctional enzyme,	1738159,2184433,2494074,3303031,4397929,4865047,4866380,4897798,4924490,4938813,5323613,5332729,5339605,6247248,6355484,7007653,7014916,7038627,7045383,7727400,7727401,8095913,9097039,9278503,9605328,12787031,13724174,13832114,15063755,15380393,15614829,16397293,16738553,16820464,17012394,18272177,18363324,18674541,19787060,21873635,24561554,	15614829:analysis of the unfolding pathway of ePRAI, a (beta/alpha)8-barrel protein, by molecular dynamics simulations,	GO:0000162~tryptophan biosynthetic process,GO:0006568~tryptophan metabolic process,GO:0008152~metabolic process,GO:0008652~cellular amino acid biosynthetic process,GO:0009073~aromatic amino acid family biosynthetic process,		GO:0003824~catalytic activity,GO:0004425~indole-3-glycerol-phosphate synthase activity,GO:0004640~phosphoribosylanthranilate isomerase activity,GO:0016829~lyase activity,GO:0016830~carbon-carbon lyase activity,GO:0016831~carboxy-lyase activity,GO:0016853~isomerase activity,	Amino acid transport and metabolism [E]
-5.78778075895192	b1263	trpD	anthranilate synthase subunit TrpD	687.0	-7.29131215369846	similar	2.43592569228893	specific		eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01230:Biosynthesis of amino acids,	[E] Anthranilate phosphoribosyltransferase    	401.502912149417	0.332443554693344	-17.4098149211849	6.95082674865449e-68	1.42816320262354e-65	b1263	1320586.0	COG0547	1319789.0	1321384.0	-	IPR000312:Glycosyl transferase, family 3,IPR005940:Anthranilate phosphoribosyl transferase,IPR006221:Anthranilate synthase/para-aminobenzoate synthase like domain,IPR017459:Glycosyl transferase family 3, N-terminal domain,IPR017926:Glutamine amidotransferase,	KW-0028~Amino-acid biosynthesis,KW-0057~Aromatic amino acid biosynthesis,KW-0822~Tryptophan biosynthesis,		KW-0021~Allosteric enzyme,KW-0328~Glycosyltransferase,KW-0456~Lyase,KW-0511~Multifunctional enzyme,KW-0808~Transferase,	2063197,2428387,2982857,4397929,4567790,4590474,4594441,4598537,4866380,4886289,4886290,4897798,4904235,4938813,5323613,5331787,5333199,5339605,6247248,6283099,6305961,7007652,7021857,7038627,7045383,7928995,8234345,9278503,10723544,11224570,12787031,15063755,15380393,15911532,16381862,16397293,16738553,17012394,17187058,	4594441:N-terminus verified by Edman degradation on mature peptide,	GO:0000162~tryptophan biosynthetic process,GO:0002047~phenazine biosynthetic process,GO:0006541~glutamine metabolic process,		GO:0000287~magnesium ion binding,GO:0004048~anthranilate phosphoribosyltransferase activity,GO:0004049~anthranilate synthase activity,	Amino acid transport and metabolism [E]
-6.40096398718032	b1261	trpB	tryptophan synthase subunit beta	687.0	-7.29131215369846	similar	3.0969493151272696	specific		eco00260:Glycine, serine and threonine metabolism,eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01230:Biosynthesis of amino acids,	[E] Tryptophan synthase beta chain  	1495.45208779533	0.25578228044748	-25.0250485529416	3.2640090271897697e-138	3.35322527393296e-135	b1261	1317818.0	COG0133	1317222.0	1318415.0	-	IPR001926:Tryptophan synthase beta subunit-like PLP-dependent enzymes superfamily,IPR006653:Tryptophan synthase, beta chain, conserved site,IPR006654:Tryptophan synthase, beta chain,IPR023026:Tryptophan synthase beta chain/beta chain-like,	KW-0028~Amino-acid biosynthesis,KW-0057~Aromatic amino acid biosynthesis,KW-0822~Tryptophan biosynthesis,	KW-0663~Pyridoxal phosphate,	KW-0456~Lyase,	330534,350880,369556,378665,788781,1309752,1899027,1899028,1902468,2001993,2021608,2271543,2888759,3524672,4397929,4552018,4609974,4866380,4887511,4897798,4909082,4938813,4943677,5323613,5339605,6247248,6402362,6412746,6985892,7007651,7038627,7929385,8095913,8325869,8530393,8605170,8797836,8856062,9097039,9278503,9298646,9548921,10212181,11893063,12787031,15063755,15289551,15380393,15667212,15911532,16397293,16590328,16738553,16820464,17012394,17187058,17400234,18486479,20370823,21873635,24561554,	20370823:determined the crystal structures of apo-tryptophan synthase beta(2) and holo-beta(2) from Escherichia coli at 3.0 and 2.9 A resolutions, respectively.,369556,3524672,6985892,9298646:N-terminus verified by Edman degradation on mature peptide,	GO:0000162~tryptophan biosynthetic process,GO:0006568~tryptophan metabolic process,GO:0008652~cellular amino acid biosynthetic process,GO:0009073~aromatic amino acid family biosynthetic process,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0004834~tryptophan synthase activity,GO:0016829~lyase activity,GO:0030170~pyridoxal phosphate binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,	Amino acid transport and metabolism [E]
-6.117763594967	b1260	trpA	tryptophan synthase subunit alpha	687.0	-7.29131215369846	similar	2.78574398220351	specific		eco00260:Glycine, serine and threonine metabolism,eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01230:Biosynthesis of amino acids,	[E] Tryptophan synthase alpha chain  	1230.00080773607	0.242418596708079	-25.2363625482661	1.5988336059141198e-140	2.46380258671366e-137	b1260	1316819.0	COG0159	1316416.0	1317222.0	-	IPR002028:Tryptophan synthase, alpha chain,IPR011060:Ribulose-phosphate binding barrel,IPR013785:Aldolase-type TIM barrel,IPR018204:Tryptophan synthase, alpha chain, active site,	KW-0028~Amino-acid biosynthesis,KW-0057~Aromatic amino acid biosynthesis,KW-0822~Tryptophan biosynthesis,		KW-0456~Lyase,	327077,330534,364481,378665,388433,393832,949971,949972,1107044,1603055,1727648,1899027,1899028,1902468,1939081,2001993,2271543,2409526,2663855,2872918,2888759,3023357,3276676,4397929,4609974,4863752,4866380,4887511,4897798,4938813,5323613,5339605,5545087,5545088,6199348,6247248,6265923,6402362,6987211,6991123,7038627,7499309,7777488,7929385,8095913,8463331,8530393,8605170,8662916,8795042,8795043,8797836,9020793,9097039,9278503,9298646,9548921,9893998,10212181,10452606,11716512,11893063,12480516,12493842,12787031,12860133,13696310,13906502,14684907,15063755,15312776,15380393,15451433,15667212,15784252,15879705,15911532,16023136,16397293,16590328,16738553,16820464,16849267,17012394,17084112,17187058,17222865,17601995,18234216,18304323,18486479,21873635,23376097,	15784252:protection observed in a contiguous set of beta-strands and alpha-helices in the N terminus implies a significant role for this sub-domain in directing the folding of this TIM barrel protein,17084112:The molecular origins of the trpA frameshifts analyzed could be explained by one of six simple models based upon misalignment of the template or nascent DNA strands with or without misincorporation of primer nucleotides during DNA replication.,18234216:The conversion of the more stable intermediate to the native state of alpha TS entails the formation of a stable helical shell and completes the acquisition of the tertiary structure.,23376097:Allosteric networks intrinsic to alpha tryptophan synthase (alphaTS) are modulated by binding of the beta-subunit to regulate alphaTS function, thus giving insight into coordination of the two active sites.,388433,4863752,9298646:N-terminus verified by Edman degradation on complete protein,	GO:0000162~tryptophan biosynthetic process,GO:0006568~tryptophan metabolic process,GO:0008652~cellular amino acid biosynthetic process,GO:0009073~aromatic amino acid family biosynthetic process,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0004834~tryptophan synthase activity,GO:0016829~lyase activity,GO:0060090~binding, bridging,	Amino acid transport and metabolism [E]
-6.11516046440493	b3769	ilvM	acetolactate synthase II subunit IlvM	2038.0	-6.11516046440493	specific		specific		eco00290:Valine, leucine and isoleucine biosynthesis,eco00650:Butanoate metabolism,eco00660:C5-Branched dibasic acid metabolism,eco00770:Pantothenate and CoA biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01210:2-Oxocarboxylic acid metabolism,eco01230:Biosynthesis of amino acids,	[S] Acetolactate synthase (isozyme II), small (regulatory)	11.4895326658362	1.61807732232238	-3.77927579853106	0.0001572851390608	0.0009010275066648	b3769	3952332.0	COG3978	3952201.0	3952464.0	+	IPR002912:ACT domain,	KW-0028~Amino-acid biosynthesis,KW-0100~Branched-chain amino acid biosynthesis,	KW-0460~Magnesium,KW-0786~Thiamine pyrophosphate,	KW-0808~Transferase,	340888,1379743,1569580,1629149,2421252,2642900,2822718,2985538,3008097,3027038,3315862,3511034,3550695,3897211,3907697,6378902,8973202,9068661,9278503,9581571,11570896,12889023,15958189,16397293,16738553,16987805,19653643,24561554,	19653643:ilvM is able to activate the large subunits of all three acetolactate synthase I, II and III isozymes.,	GO:0008652~cellular amino acid biosynthetic process,GO:0009082~branched-chain amino acid biosynthetic process,GO:0009097~isoleucine biosynthetic process,GO:0009099~valine biosynthetic process,	GO:0005948~acetolactate synthase complex,	GO:0003984~acetolactate synthase activity,GO:0005515~protein binding,GO:0016740~transferase activity,	Function unknown [S]
-3.53983437245393	b3771	ilvD	dihydroxy-acid dehydratase	2038.0	-6.11516046440493	similar	2.9731702375009608	similar	1.7961790889128098	eco00290:Valine, leucine and isoleucine biosynthesis,eco00770:Pantothenate and CoA biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01210:2-Oxocarboxylic acid metabolism,eco01230:Biosynthesis of amino acids,	[EG] Dihydroxyacid dehydratase/phosphogluconate dehydratase   	287.291223081303	0.267363175719471	-13.2397977504878	5.1687829584599295e-40	4.30545650756041e-38	b3771	3954403.0	COG0129	3953478.0	3955328.0	+	IPR000581:Dihydroxy-acid/6-phosphogluconate dehydratase,IPR004404:Dihydroxy-acid dehydratase,IPR020558:Dihydroxy-acid/6-phosphogluconate dehydratase, conserved site,	KW-0028~Amino-acid biosynthesis,KW-0100~Branched-chain amino acid biosynthesis,	KW-0001~2Fe-2S,KW-0408~Iron,KW-0411~Iron-sulfur,KW-0460~Magnesium,KW-0479~Metal-binding,	KW-0456~Lyase,	343113,367373,372751,1379743,1629149,2445227,2642900,2822718,2985538,3049548,3294419,3314584,3315862,3550695,3897211,3917997,6277848,8226748,8244991,8325851,8663055,8663056,9068661,9278503,13727223,15657047,16397293,16738553,16820464,17012394,17494765,18304323,18811727,18945212,19309314,21873635,	17494765:This approach identified the comprehensive E. coli NO response network and evinced that nitric oxide (NO) halts bacterial growth via inhibition of the branched-chain amino acid biosynthesis enzyme dihydroxyacid dehydratase.,8325851:N-terminus verified by Edman degradation on mature peptide,	GO:0008652~cellular amino acid biosynthetic process,GO:0009082~branched-chain amino acid biosynthetic process,GO:0009097~isoleucine biosynthetic process,GO:0009099~valine biosynthetic process,	GO:0005829~cytosol,	GO:0000287~magnesium ion binding,GO:0003824~catalytic activity,GO:0004160~dihydroxy-acid dehydratase activity,GO:0016829~lyase activity,GO:0016836~hydro-lyase activity,GO:0046872~metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051537~2 iron, 2 sulfur cluster binding,GO:0051539~4 iron, 4 sulfur cluster binding,	Amino acid transport and metabolism [E]
-2.81491014775746	b3772	ilvA	threonine deaminase	2038.0	-6.11516046440493	specific		similar	1.0006848174066398	eco00260:Glycine, serine and threonine metabolism,eco00290:Valine, leucine and isoleucine biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01200:Carbon metabolism,eco01230:Biosynthesis of amino acids,	[E] Threonine dehydratase    	112.595697067769	0.361382120151051	-7.78929003621121	6.73867609263456e-15	1.31446833655062e-13	b3772	3956103.0	COG1171	3955331.0	3956875.0	+	IPR000634:Serine/threonine dehydratase, pyridoxal-phosphate-binding site,IPR001721:Threonine dehydratase, C-terminal regulatory domain,IPR001926:Tryptophan synthase beta subunit-like PLP-dependent enzymes superfamily,IPR005787:Threonine dehydratase, biosynthetic,	KW-0028~Amino-acid biosynthesis,KW-0100~Branched-chain amino acid biosynthesis,KW-0412~Isoleucine biosynthesis,	KW-0663~Pyridoxal phosphate,	KW-0021~Allosteric enzyme,KW-0456~Lyase,	240428,318654,348689,372751,1096954,1099080,1379743,1629149,2005118,2473940,2642900,2822718,2985538,3003115,3049548,3294419,3315862,3550695,3917997,4562390,4573981,4582943,4604254,5321308,6277848,7007336,7040602,7840631,7961922,8407838,9068661,9278503,9562556,9761930,13319259,13324101,13405870,14127571,14273640,14273641,15640221,15657047,15968045,16397293,16738553,16820464,16987805,17012394,17463081,21873635,22669632,	22669632:The residues R362, E442, G445, A446, Y369, I460, and S461 only interact with isoleucine while E347, G350, and F352 are involved not only in the isoleucine binding but also in the valine binding.,	GO:0006520~cellular amino acid metabolic process,GO:0006565~L-serine catabolic process,GO:0006566~threonine metabolic process,GO:0006567~threonine catabolic process,GO:0008152~metabolic process,GO:0008652~cellular amino acid biosynthetic process,GO:0009082~branched-chain amino acid biosynthetic process,GO:0009097~isoleucine biosynthetic process,		GO:0003824~catalytic activity,GO:0003941~L-serine ammonia-lyase activity,GO:0004794~L-threonine ammonia-lyase activity,GO:0016597~amino acid binding,GO:0016829~lyase activity,GO:0030170~pyridoxal phosphate binding,	Amino acid transport and metabolism [E]
-4.50093709408988	b3770	ilvE	branched-chain-amino-acid aminotransferase	2038.0	-6.11516046440493	similar	3.5551335256746364	similar	2.6814474516212705	eco00270:Cysteine and methionine metabolism,eco00280:Valine, leucine and isoleucine degradation,eco00290:Valine, leucine and isoleucine biosynthesis,eco00770:Pantothenate and CoA biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01210:2-Oxocarboxylic acid metabolism,eco01230:Biosynthesis of amino acids,eco01240:Biosynthesis of cofactors,	[EH] Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase 	205.58876773769	0.362118148768475	-12.4294711805997	1.80826592728371e-35	1.0515236958280001e-33	b3770	3952948.0	COG0115	3952484.0	3953413.0	+	IPR001544:Aminotransferase, class IV,IPR005785:Branched-chain amino acid aminotransferase I,IPR018300:Aminotransferase, class IV, conserved site,	KW-0028~Amino-acid biosynthesis,KW-0100~Branched-chain amino acid biosynthesis,	KW-0663~Pyridoxal phosphate,	KW-0032~Aminotransferase,KW-0808~Transferase,	15983,372751,378964,385001,392469,400801,1089632,1379743,1569580,1629149,2421252,2642900,2691839,2822718,2985538,2989252,3044925,3069843,3315862,3550695,3897211,3917997,6252193,6260586,6272063,6277848,9068661,9163511,9278503,12667063,13034817,13117924,15657047,16397293,16738553,17718503,18304323,21873635,	378964,385001,3069843:N-terminus verified by Edman degradation on mature peptide,	GO:0006532~aspartate biosynthetic process,GO:0008652~cellular amino acid biosynthetic process,GO:0009081~branched-chain amino acid metabolic process,GO:0009082~branched-chain amino acid biosynthetic process,GO:0009097~isoleucine biosynthetic process,GO:0009098~leucine biosynthetic process,GO:0009099~valine biosynthetic process,GO:0019752~carboxylic acid metabolic process,	GO:0005829~cytosol,	GO:0003824~catalytic activity,GO:0004084~branched-chain-amino-acid transaminase activity,GO:0008483~transaminase activity,GO:0016740~transferase activity,GO:0042802~identical protein binding,GO:0050048~L-leucine:2-oxoglutarate aminotransferase activity,GO:0052654~L-leucine transaminase activity,GO:0052655~L-valine transaminase activity,GO:0052656~L-isoleucine transaminase activity,	Amino acid transport and metabolism [E]
-4.53167916213442	b0774	bioA	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	412.0	-4.53167916213442	specific		specific		eco00780:Biotin metabolism,eco01100:Metabolic pathways,eco01240:Biosynthesis of cofactors,	[H] Adenosylmethionine-8-amino-7-oxononanoate aminotransferase    	28.4128117342433	1.11778112606695	-4.05417398491931	5.03117617803167e-05	0.0003257580878296	b0774	808612.0	COG0161	807968.0	809257.0	-	IPR005814:Aminotransferase class-III,IPR005815:Adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,	KW-0093~Biotin biosynthesis,	KW-0663~Pyridoxal phosphate,KW-0949~S-adenosyl-L-methionine,	KW-0032~Aminotransferase,KW-0808~Transferase,	350835,366433,374976,1091631,1092681,1092682,1095554,1659455,2971595,3058702,3893283,4318449,4559114,4559599,4563978,4598072,4616949,4877129,4879561,4945185,5246560,5411202,6177001,6211395,6292053,6453741,6782078,7044300,9278503,10452893,11153271,12218056,12379100,14599009,14756557,16042602,16397293,16738553,16820464,17366475,21873635,		GO:0009102~biotin biosynthetic process,	GO:0005737~cytoplasm,	GO:0003824~catalytic activity,GO:0004015~adenosylmethionine-8-amino-7-oxononanoate transaminase activity,GO:0008483~transaminase activity,GO:0016740~transferase activity,GO:0030170~pyridoxal phosphate binding,GO:0042803~protein homodimerization activity,	Coenzyme transport and metabolism [H]
