log2FoldChange	locus_tag	geneID	product	Operon	max_L2FC_per_operon	L2FC_SQvsLac	L2FC_SQvsLac_AbsDiff	L2FC_NissleVsK12	L2FC_NissleVsK12_AbsDiff	KEGG_PATHWAY	Function_COG	predicted_function2	identity_sq	product_otherSQ	protein_id_otherSQ	org_name_otherSQ	baseMean	lfcSE	stat	pvalue	padj	locus_tag_k12	identity_mmseqs2_nt	midpoint	COGgene	PosLeft	postRight	Strand	INTERPRO	UP_KW_BIOLOGICAL_PROCESS	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	PUBMED_ID	GENERIF_SUMMARY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	Category_COG
-7.30663590491585	K8943_RS18720	tauA	taurine ABC transporter substrate-binding protein	1917.0	-7.30663590491585	specific		specific		eco00920:Sulfur metabolism,eco02010:ABC transporters,	[P] ABC-type taurine transport system, periplasmic component						18.8436342228847	1.54033392797765	-4.74354019748752	2.10015245911219e-06	1.66459910128762e-05	b0365	0.969	3946461.0	COG4521	3945980	3946942	+	IPR001638:Extracellular solute-binding protein, family 3,IPR007210:ABC-type glycine betaine transport system, substrate-binding domain,IPR010068:Taurine ABC transporter, periplasmic binding protein TauA,	KW-0813~Transport,			8774726,8789466,8808933,9278503,9401024,10781534,11479697,15044727,15902464,16381841,16397293,16606699,16738553,17203388,17222132,21873635,	17203388:TauA plays a major role in ABC transport system,8774726:N-terminus verified by Edman degradation on mature peptide,	GO:0006790~sulfur compound metabolic process,GO:0009970~cellular response to sulfate starvation,GO:0010438~cellular response to sulfur starvation,GO:0015734~taurine transport,GO:0042918~alkanesulfonate transport,GO:0055085~transmembrane transport,	GO:0030288~outer membrane-bounded periplasmic space,GO:0042597~periplasmic space,GO:0043190~ATP-binding cassette (ABC) transporter complex,GO:0055052~ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing,	GO:0022857~transmembrane transporter activity,GO:0042959~alkanesulfonate transporter activity,	Inorganic ion transport and metabolism [P]
-2.78155595503454	K8943_RS18735	tauD	taurine dioxygenase	1917.0	-7.30663590491585	specific		specific		eco00430:Taurine and hypotaurine metabolism,eco00920:Sulfur metabolism,	[Q] Probable taurine catabolism dioxygenase  						11.6659092472199	0.918723508537323	-3.02763119609618	0.0024647869628991	0.0112332665834129	b0368	0.941	3948968.0	COG2175	3948543	3949394	+	IPR003819:Taurine catabolism dioxygenase TauD/TfdA,		KW-0408~Iron,KW-0479~Metal-binding,KW-0847~Vitamin C,	KW-0223~Dioxygenase,KW-0560~Oxidoreductase,	2656410,7984428,8774726,8808933,9278503,9287300,9401024,10563813,11479697,11955067,12642663,12741810,12809506,14570457,15225039,15751960,15902464,15924433,16165092,16397293,16643838,16738553,17222132,17469855,19892731,21873635,22221834,	17469855:The structural relationship between substrate taurine and the non-heme Fe(II) center of taurine/alpha-ketoglutarate dioxygenase (TauD) has been defined.,19892731:Data suggest that minor active-site perturbations in tauD and alpha-ketoglutarate-dependent nonheme iron oxygenases could allow for changes in substrate reactivity while maintaining substrate triggering and oxygen binding/activation.,8774726:N-terminus verified by Edman degradation on mature peptide,	GO:0006790~sulfur compound metabolic process,GO:0019529~taurine catabolic process,GO:0051289~protein homotetramerization,	GO:0005737~cytoplasm,GO:1990205~taurine dioxygenase complex,	GO:0000908~taurine dioxygenase activity,GO:0008198~ferrous iron binding,GO:0016491~oxidoreductase activity,GO:0016706~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors,GO:0031418~L-ascorbic acid binding,GO:0042802~identical protein binding,GO:0046872~metal ion binding,GO:0051213~dioxygenase activity,	Secondary metabolites biosynthesis, transport and catabolism [Q]
-3.04477657452364	K8943_RS18730	tauC	taurine ABC transporter permease TauC	1917.0	-7.30663590491585	specific		specific		eco00920:Sulfur metabolism,eco02010:ABC transporters,	[P] ABC-type nitrate/sulfonate/bicarbonate transport system, permease component						8.31810049601462	1.10398547849134	-2.75798607304554	0.005815867567698	0.0240961967634399	b0367	0.956	3948132.0	COG0600	3947719	3948546	+	IPR000515:Binding-protein-dependent transport systems inner membrane component,	KW-0813~Transport,			8789466,8808933,9278503,9401024,10781534,11479697,15044727,15902464,15919996,16120447,16381841,16397293,16738553,21873635,		GO:0010438~cellular response to sulfur starvation,GO:0042918~alkanesulfonate transport,GO:0055085~transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0055052~ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing,	GO:0022857~transmembrane transporter activity,GO:0042959~alkanesulfonate transporter activity,	Inorganic ion transport and metabolism [P]
-6.71638411606999	K8943_RS06325	grcA	autonomous glycyl radical cofactor GrcA	669.0	-6.71638411606999	specific		specific			[R] Acid-induced glycyl radical enzyme  	Hps_HpsG	39.216	formate C-acetyltransferase	SHN48985.1	Desulfovibrio litoralis DSM 11393	1161.46339741317	0.27403444960522	-24.5092692752527	1.17655596215478e-132	3.89974821637847e-130	b2579	0.981	1351178.0	COG3445	1350987	1351370	-	IPR001150:Glycine radical domain,IPR011140:Autonomous glycyl radical cofactor GrcA,IPR019777:Formate C-acetyltransferase glycine radical, conserved site,	KW-0346~Stress response,			2836397,7984428,9179852,9278503,9600841,9740056,9767578,9868784,9884220,10094700,10493123,10726772,11114930,11169114,11444864,11591692,11932447,12107143,12949096,15690043,15911532,16397293,16738553,16849790,16858726,17013945,17187058,17222132,18304323,19282968,19282973,19402753,34801558,	34801558:Rescuing activity of oxygen-damaged pyruvate formate-lyase by a spare part protein.,9179852,9600841,9740056,9868784,10094700:N-terminus verified by Edman degradation on complete protein,	GO:0006567~threonine catabolic process,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0003824~catalytic activity,GO:0005515~protein binding,GO:0008861~formate C-acetyltransferase activity,	General function prediction only [R]
-6.58676091224145	K8943_RS12955	ilvC	ketol-acid reductoisomerase	1303.0	-6.58676091224145	specific		similar	3.5713547663695504	eco00290:Valine, leucine and isoleucine biosynthesis,eco00770:Pantothenate and CoA biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01210:2-Oxocarboxylic acid metabolism,eco01230:Biosynthesis of amino acids,	[EH] Ketol-acid reductoisomerase    						1027.39792816028	0.294687957213534	-22.3516460412009	1.16373753220816e-110	2.12149352121547e-108	b3774	0.953	2720424.0	COG0059	2719687	2721162	+	IPR000506:Acetohydroxy acid isomeroreductase C-terminal,IPR008927:6-phosphogluconate dehydrogenase, C-terminal-like,IPR013023:Acetohydroxy acid isomeroreductase,IPR013116:Acetohydroxy acid isomeroreductase, catalytic,IPR013328:Dehydrogenase, multihelical,	KW-0028~Amino-acid biosynthesis,KW-0100~Branched-chain amino acid biosynthesis,	KW-0460~Magnesium,KW-0479~Metal-binding,KW-0521~NADP,	KW-0560~Oxidoreductase,	372751,1379743,1569007,2189496,2653423,3003115,3049163,3062177,3294419,4562389,4572708,6211429,6226847,6783625,8349544,9015391,9278503,9298646,9740056,10024470,10553653,11123701,11251829,14127571,14832239,15272168,15640221,15654896,15657047,16322583,16397293,16417522,16606699,16738553,16820464,17012394,17187058,17919278,18304323,21515217,21873635,23036858,23776225,24561554,27136273,	15272168:crystal structure of Escherichia coli ketol-acid reductoisomerase,16322583:crystal structure of the E. coli enzyme at 2.6 A resolution, the first three-dimensional structure of any bacterial Class II KARI,23036858:Ultracentrifugation studies confirm that the enzyme exists as a tetramer in solution, and isothermal titration calorimetry shows that the binding of Mg(2+) decreases, while the binding of NADPH increases the structural rigidity of the enzyme.,23776225:Key cofactor specificity determinants are identified and five enzymes constructed with reversed cofactor preference; additional directed evolution generated two enzymes with NADH-dependent catalytic efficiencies greater than wild-type enzymes with NADPH.,9298646,9740056:N-terminus verified by Edman degradation on mature peptide,	GO:0008652~cellular amino acid biosynthetic process,GO:0009082~branched-chain amino acid biosynthetic process,GO:0009097~isoleucine biosynthetic process,GO:0009099~valine biosynthetic process,GO:0015940~pantothenate biosynthetic process,GO:0071704~organic substance metabolic process,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0032991~macromolecular complex,	GO:0000287~magnesium ion binding,GO:0004455~ketol-acid reductoisomerase activity,GO:0008677~2-dehydropantoate 2-reductase activity,GO:0016491~oxidoreductase activity,GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,GO:0042802~identical protein binding,GO:0046872~metal ion binding,GO:0050661~NADP binding,	Amino acid transport and metabolism [E]
-5.66377368482517	K8943_RS06430	tyrA	bifunctional chorismate mutase/prephenate dehydrogenase	682.0	-6.36726448392352	similar	4.58830108556166	similar	1.72848613401679	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eco00401:Novobiocin biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01230:Biosynthesis of amino acids,	[E] Chorismate mutase    						676.943364338741	0.246983088857667	-22.931827887573	2.23735828705994e-116	5.438272209747019e-114	b2600	0.978	1374350.0	COG1605	1373790	1374911	-	IPR002701:Chorismate mutase,IPR003099:Prephenate dehydrogenase,IPR008244:Bifunctional chorismate mutase/prephenate dehydrogenase T-protein,IPR008927:6-phosphogluconate dehydrogenase, C-terminal-like,IPR011277:Chorismate mutase, T-protein,	KW-0028~Amino-acid biosynthesis,KW-0057~Aromatic amino acid biosynthesis,KW-0827~Tyrosine biosynthesis,	KW-0520~NAD,	KW-0413~Isomerase,KW-0511~Multifunctional enzyme,KW-0560~Oxidoreductase,	2857723,3308859,4397929,4552899,4929151,4929152,5326114,6338013,6395895,6396419,6809460,7044424,9278503,9579078,12581215,15574334,16269762,16397293,16738553,16820464,16986629,17012394,17187058,17216463,17221195,17366475,18069696,21873635,		GO:0006571~tyrosine biosynthetic process,GO:0008152~metabolic process,GO:0008652~cellular amino acid biosynthetic process,GO:0009073~aromatic amino acid family biosynthetic process,GO:0009094~L-phenylalanine biosynthetic process,GO:0019752~carboxylic acid metabolic process,GO:0046417~chorismate metabolic process,	GO:0005737~cytoplasm,	GO:0003824~catalytic activity,GO:0004106~chorismate mutase activity,GO:0004665~prephenate dehydrogenase (NADP+) activity,GO:0008977~prephenate dehydrogenase (NAD+) activity,GO:0016491~oxidoreductase activity,GO:0016853~isomerase activity,GO:0042803~protein homodimerization activity,GO:0070403~NAD+ binding,	Amino acid transport and metabolism [E]
-6.36726448392352	K8943_RS06435	aroF	3-deoxy-7-phosphoheptulonate synthase AroF	682.0	-6.36726448392352	similar	4.878309990620941	similar	3.3845325636261205	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01230:Biosynthesis of amino acids,eco02024:Quorum sensing,	[E] 3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase  						1033.93857540142	0.230397782005705	-27.6359625882417	4.11593978138126e-168	3.00134328858322e-165	b2601	0.992	1375457.0	COG0722	1374922	1375992	-	IPR006218:DAHP synthetase I/KDSA,IPR006219:DHAP synthase, class 1,IPR013785:Aldolase-type TIM barrel,	KW-0028~Amino-acid biosynthesis,KW-0057~Aromatic amino acid biosynthesis,		KW-0808~Transferase,	9387,1497310,1682314,1970560,1977738,2656411,2857723,2903857,3041242,3294794,4860915,4905534,5335890,6104668,6146618,6228547,6317654,6396419,6782075,9056491,9278503,11444986,11506923,11603966,11847568,12368244,12402320,12627170,14524706,15326172,15575692,15837321,16397293,16474175,16563755,16738553,16828913,16986629,17187058,21873635,24561554,		GO:0008652~cellular amino acid biosynthetic process,GO:0009058~biosynthetic process,GO:0009073~aromatic amino acid family biosynthetic process,GO:0009423~chorismate biosynthetic process,	GO:0005737~cytoplasm,	GO:0003849~3-deoxy-7-phosphoheptulonate synthase activity,GO:0016740~transferase activity,GO:0042802~identical protein binding,	Amino acid transport and metabolism [E]
-6.34969896121533	K8943_RS16375	btsT	pyruvate/proton symporter BtsT	1665.0	-6.34969896121533	specific		similar	4.22918887337523		[T] Carbon starvation protein, predicted membrane protein						597.412385226086	0.339147403838021	-18.7225344772151	3.24344713387454e-78	3.81471233874406e-76	b4354	0.994	3445234.0	COG1966	3444159	3446309	-	IPR003706:Carbon starvation protein CstA,IPR025299:CstA C-terminal domain,	KW-0769~Symport,KW-0813~Transport,			2981814,3080404,7610040,9278503,11967071,15919996,16120447,16397293,16738553,16858726,17309111,19144914,21873635,22685278,24659770,29061664,		GO:0006849~plasma membrane pyruvate transport,GO:0006974~cellular response to DNA damage stimulus,GO:0009267~cellular response to starvation,GO:0031669~cellular response to nutrient levels,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,	GO:0005477~pyruvate secondary active transmembrane transporter activity,GO:0015293~symporter activity,	Signal transduction mechanisms [T]
-3.66187216291024	K8943_RS16370	yjiX	YbdD/YjiX family protein	1665.0	-6.34969896121533	specific		specific			[S] Uncharacterized small protein   						25.7559320748218	0.704802334067551	-5.19560164021715	2.04058807222954e-07	1.76721712858644e-06	b4353	0.995	3444008.0	COG2879	3443906	3444109	-	IPR007423:Protein of unknown function DUF466,				1848300,7610040,9278503,11967071,16397293,16738553,		GO:0006974~cellular response to DNA damage stimulus,			Function unknown [S]
-2.33405868143961	K8943_RS16365	yjiA	GTPase	1665.0	-6.34969896121533	specific		specific			[R] Putative GTPases (G3E family)  						109.62216630784	0.304954416251809	-7.65379531186166	1.95132790201049e-14	2.88038118653046e-13	b4352	0.97	3443417.0	COG0523	3442939	3443895	-	IPR003495:CobW/HypB/UreG domain,IPR011629:Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		KW-0342~GTP-binding,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,KW-0862~Zinc,	KW-0143~Chaperone,KW-0378~Hydrolase,	1650347,7610040,9278503,11967071,14696199,14744977,15004283,16397293,16738553,18304323,19822009,21873635,24449932,24561554,	24449932:YjiA is capable of binding several types of transition metals with dissociation constants in the low micromolar range and metal binding affects both the oligomeric structure and GTPase activity of the enzyme.,	GO:0006974~cellular response to DNA damage stimulus,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000166~nucleotide binding,GO:0003924~GTPase activity,GO:0005525~GTP binding,GO:0016787~hydrolase activity,GO:0042802~identical protein binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,	General function prediction only [R]
