query	target	identity	alignment_length	mismatches	gap_openings	query_start	query_end	target_start	target_end	evalue	bit_score	genome_id	query_gene	target_info	target_location	strand	start	end	locus_tag	chr_id	midpoint	queryGenes_locus	locusTag_locus	set_queryGenes_locus	start_min	end_max	set_locusTag_locus	variant	Info	Cluster
AYG21329.1|CP032667.1	AE005674.2_cds_AAN45382.1_3949	0.961	330	13	0	1	330	37	366	8.401e-67	225	GCA_000006925.2	ompL	lcl|AE005674.2_cds_AAN45382.1_3949 [locus_tag=SF3947] [protein=hypothetical protein] [protein_id=AAN45382.1] [location=complement(4076600..4076986)] [gbkey=CDS]	complement(4076600..4076986)	-	4076600	4076986	SF3947	AE005674.2	4076793.0	ompL/yihP/yihO/yihO/yihP/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	SF3947/SF3948/SF3948/SF3949/SF3949/SF3950/SF3951/SF3952/SF3953/SF3954/SF3955/SF3956	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4076600	4088098	SF3947~SF3948~SF3949~SF3950~SF3951~SF3952~SF3953~SF3954~SF3955~SF3956	long	shigellosis	7 (B1)
AYG21327.1|CP032667.1	AE005674.2_cds_AAN45383.2_3950	0.686	1365	425	0	10	1374	1	1356	1.045e-200	624	GCA_000006925.2	yihP	lcl|AE005674.2_cds_AAN45383.2_3950 [gene=yihO] [locus_tag=SF3948] [protein=putative permease] [protein_id=AAN45383.2] [location=complement(4077018..4078421)] [gbkey=CDS]	complement(4077018..4078421)	-	4077018	4078421	SF3948	AE005674.2	4077719.5	ompL/yihP/yihO/yihO/yihP/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	SF3947/SF3948/SF3948/SF3949/SF3949/SF3950/SF3951/SF3952/SF3953/SF3954/SF3955/SF3956	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4076600	4088098	SF3947~SF3948~SF3949~SF3950~SF3951~SF3952~SF3953~SF3954~SF3955~SF3956	long	shigellosis	7 (B1)
AYG21328.1|CP032667.1	AE005674.2_cds_AAN45384.1_3951	0.659	1029	347	0	1	1020	43	1071	4.981e-140	449	GCA_000006925.2	yihO	lcl|AE005674.2_cds_AAN45384.1_3951 [locus_tag=SF3949] [protein=putative permease] [protein_id=AAN45384.1] [location=complement(4078618..4079871)] [gbkey=CDS]	complement(4078618..4079871)	-	4078618	4079871	SF3949	AE005674.2	4079244.5	ompL/yihP/yihO/yihO/yihP/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	SF3947/SF3948/SF3948/SF3949/SF3949/SF3950/SF3951/SF3952/SF3953/SF3954/SF3955/SF3956	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4076600	4088098	SF3947~SF3948~SF3949~SF3950~SF3951~SF3952~SF3953~SF3954~SF3955~SF3956	long	shigellosis	7 (B1)
AYG21326.1|CP032667.1	AE005674.2_cds_AAN45385.1_3952	1.0	2034	0	0	1	2034	1	2034	0.0	1459	GCA_000006925.2	yihQ	lcl|AE005674.2_cds_AAN45385.1_3952 [gene=yihQ] [locus_tag=SF3950] [protein=putative glycosidase] [protein_id=AAN45385.1] [location=complement(4079884..4081920)] [gbkey=CDS]	complement(4079884..4081920)	-	4079884	4081920	SF3950	AE005674.2	4080902.0	ompL/yihP/yihO/yihO/yihP/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	SF3947/SF3948/SF3948/SF3949/SF3949/SF3950/SF3951/SF3952/SF3953/SF3954/SF3955/SF3956	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4076600	4088098	SF3947~SF3948~SF3949~SF3950~SF3951~SF3952~SF3953~SF3954~SF3955~SF3956	long	shigellosis	7 (B1)
AYG21325.1|CP032667.1	AE005674.2_cds_AAN45386.2_3953	0.986	900	13	0	25	924	1	900	1.523e-204	627	GCA_000006925.2	yihR	lcl|AE005674.2_cds_AAN45386.2_3953 [gene=yihR] [locus_tag=SF3951] [protein=putative aldose-1-epimerase] [protein_id=AAN45386.2] [location=complement(4082119..4083021)] [gbkey=CDS]	complement(4082119..4083021)	-	4082119	4083021	SF3951	AE005674.2	4082570.0	ompL/yihP/yihO/yihO/yihP/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	SF3947/SF3948/SF3948/SF3949/SF3949/SF3950/SF3951/SF3952/SF3953/SF3954/SF3955/SF3956	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4076600	4088098	SF3947~SF3948~SF3949~SF3950~SF3951~SF3952~SF3953~SF3954~SF3955~SF3956	long	shigellosis	7 (B1)
AYG21324.1|CP032667.1	AE005674.2_cds_AAN45387.2_3954	1.0	1239	0	0	1	1239	1	1239	6.262999999999999e-298	902	GCA_000006925.2	yihS	lcl|AE005674.2_cds_AAN45387.2_3954 [gene=yihS] [locus_tag=SF3952] [protein=conserved hypothetical protein] [protein_id=AAN45387.2] [location=complement(4083159..4084400)] [gbkey=CDS]	complement(4083159..4084400)	-	4083159	4084400	SF3952	AE005674.2	4083779.5	ompL/yihP/yihO/yihO/yihP/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	SF3947/SF3948/SF3948/SF3949/SF3949/SF3950/SF3951/SF3952/SF3953/SF3954/SF3955/SF3956	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4076600	4088098	SF3947~SF3948~SF3949~SF3950~SF3951~SF3952~SF3953~SF3954~SF3955~SF3956	long	shigellosis	7 (B1)
AYG21323.1|CP032667.1	AE005674.2_cds_AAN45388.1_3955	0.948	876	45	0	1	876	1	876	5.984e-190	584	GCA_000006925.2	yihT	lcl|AE005674.2_cds_AAN45388.1_3955 [gene=yihT] [locus_tag=SF3953] [protein=putative aldolase] [protein_id=AAN45388.1] [location=complement(4084417..4085295)] [gbkey=CDS]	complement(4084417..4085295)	-	4084417	4085295	SF3953	AE005674.2	4084856.0	ompL/yihP/yihO/yihO/yihP/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	SF3947/SF3948/SF3948/SF3949/SF3949/SF3950/SF3951/SF3952/SF3953/SF3954/SF3955/SF3956	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4076600	4088098	SF3947~SF3948~SF3949~SF3950~SF3951~SF3952~SF3953~SF3954~SF3955~SF3956	long	shigellosis	7 (B1)
AYG21322.1|CP032667.1	AE005674.2_cds_AAN45389.1_3956	0.935	894	58	0	1	894	1	894	8.730000000000001e-191	586	GCA_000006925.2	yihU	lcl|AE005674.2_cds_AAN45389.1_3956 [gene=yihU] [locus_tag=SF3954] [protein=putative dehydrogenase] [protein_id=AAN45389.1] [location=complement(4085319..4086215)] [gbkey=CDS]	complement(4085319..4086215)	-	4085319	4086215	SF3954	AE005674.2	4085767.0	ompL/yihP/yihO/yihO/yihP/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	SF3947/SF3948/SF3948/SF3949/SF3949/SF3950/SF3951/SF3952/SF3953/SF3954/SF3955/SF3956	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4076600	4088098	SF3947~SF3948~SF3949~SF3950~SF3951~SF3952~SF3953~SF3954~SF3955~SF3956	long	shigellosis	7 (B1)
AYG21321.1|CP032667.1	AE005674.2_cds_AAN45390.2_3957	0.953	894	42	0	1	894	1	894	3.636e-195	599	GCA_000006925.2	yihV	lcl|AE005674.2_cds_AAN45390.2_3957 [gene=yihV] [locus_tag=SF3955] [protein=putative kinase] [protein_id=AAN45390.2] [location=4086383..4087279] [gbkey=CDS]	4086383..4087279	+	4086383	4087279	SF3955	AE005674.2	4086831.0	ompL/yihP/yihO/yihO/yihP/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	SF3947/SF3948/SF3948/SF3949/SF3949/SF3950/SF3951/SF3952/SF3953/SF3954/SF3955/SF3956	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4076600	4088098	SF3947~SF3948~SF3949~SF3950~SF3951~SF3952~SF3953~SF3954~SF3955~SF3956	long	shigellosis	7 (B1)
AYG21320.1|CP032667.1	AE005674.2_cds_AAN45391.2_3958	0.933	783	52	0	1	783	1	783	8.394e-166	512	GCA_000006925.2	yihW	lcl|AE005674.2_cds_AAN45391.2_3958 [gene=yihW] [locus_tag=SF3956] [protein=putative DEOR-type transcriptional regulator] [protein_id=AAN45391.2] [location=4087313..4088098] [gbkey=CDS]	4087313..4088098	+	4087313	4088098	SF3956	AE005674.2	4087705.5	ompL/yihP/yihO/yihO/yihP/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	SF3947/SF3948/SF3948/SF3949/SF3949/SF3950/SF3951/SF3952/SF3953/SF3954/SF3955/SF3956	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4076600	4088098	SF3947~SF3948~SF3949~SF3950~SF3951~SF3952~SF3953~SF3954~SF3955~SF3956	long	shigellosis	7 (B1)
AYG21320.1|CP032667.1	AE014073.1_cds_AAP18809.1_3261	0.933	783	52	0	1	783	1	783	7.15e-166	512	GCA_000007405.1	yihW	lcl|AE014073.1_cds_AAP18809.1_3261 [gene=yihW] [locus_tag=S3790] [protein=putative DEOR-type transcriptional regulator] [protein_id=AAP18809.1] [location=complement(3685120..3685905)] [gbkey=CDS]	complement(3685120..3685905)	-	3685120	3685905	S3790	AE014073.1	3685512.5	yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	S3798/S3798/S3796/S3795/S3794/S3793/S3792/S3791/S3790	yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	3685120	3696200	S3790~S3791~S3792~S3793~S3794~S3795~S3796~S3798	long	shigellosis	7 (B1)
AYG21321.1|CP032667.1	AE014073.1_cds_AAP18810.1_3262	0.953	894	42	0	1	894	1	894	3.098e-195	599	GCA_000007405.1	yihV	lcl|AE014073.1_cds_AAP18810.1_3262 [gene=yihV] [locus_tag=S3791] [protein=putative kinase] [protein_id=AAP18810.1] [location=complement(3685939..3686835)] [gbkey=CDS]	complement(3685939..3686835)	-	3685939	3686835	S3791	AE014073.1	3686387.0	yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	S3798/S3798/S3796/S3795/S3794/S3793/S3792/S3791/S3790	yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	3685120	3696200	S3790~S3791~S3792~S3793~S3794~S3795~S3796~S3798	long	shigellosis	7 (B1)
AYG21322.1|CP032667.1	AE014073.1_cds_AAP18811.1_3263	0.935	894	58	0	1	894	1	894	7.436e-191	586	GCA_000007405.1	yihU	lcl|AE014073.1_cds_AAP18811.1_3263 [gene=yihU] [locus_tag=S3792] [protein=putative dehydrogenase] [protein_id=AAP18811.1] [location=3687003..3687899] [gbkey=CDS]	3687003..3687899	+	3687003	3687899	S3792	AE014073.1	3687451.0	yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	S3798/S3798/S3796/S3795/S3794/S3793/S3792/S3791/S3790	yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	3685120	3696200	S3790~S3791~S3792~S3793~S3794~S3795~S3796~S3798	long	shigellosis	7 (B1)
