targetID	alnScore	seqIdentity	eVal	locus_tag_nissle	locus_tag_k12
NZ_CP082949.1_cds_10	NC_000913.3_cds_NP_415938.1_1409	0.961	444	K8943_RS00050	b1421
NZ_CP082949.1_cds_1013	NC_000913.3_cds_NP_416813.1_2291	0.966	783	K8943_RS05140	b2310
NZ_CP082949.1_cds_106	NC_000913.3_cds_NP_416044.1_1511	0.964	84	K8943_RS00530	b1527
NZ_CP082949.1_cds_1113	NC_000913.3_cds_NP_416925.2_2406	0.975	83	K8943_RS05675	b2430
NZ_CP082949.1_cds_121	NC_000913.3_cds_YP_010051185.1_1520	0.99	106	K8943_RS00605	b4775
NZ_CP082949.1_cds_123	NC_000913.3_cds_NP_416054.1_1522	0.956	93	K8943_RS00615	b1536
NZ_CP082949.1_cds_124	NC_000913.3_cds_NP_416055.1_1523	0.925	81	K8943_RS00620	b1537
NZ_CP082949.1_cds_130	NC_000913.3_cds_YP_009518786.1_1529	0.977	1284	K8943_RS00650	b1543
NZ_CP082949.1_cds_1538	NC_000913.3_cds_NP_417392.1_2868	0.924	918	K8943_RS07870	b2917
NZ_CP082949.1_cds_1539	NC_000913.3_cds_NP_417395.1_2871	0.954	153	K8943_RS24290	b2920
NZ_CP082949.1_cds_1554	NC_000913.3_cds_NP_417405.1_2881	0.965	174	K8943_RS07945	b2930
NZ_CP082949.1_cds_1619	NC_000913.3_cds_b4623_4192	0.973	788	K8943_RS08280	b4623
NZ_CP082949.1_cds_182	NC_000913.3_cds_NP_416146.1_1622	0.963	2230	K8943_RS00920	b1629
NZ_CP082949.1_cds_1827	NC_000913.3_cds_NP_417554.1_3032	0.974	79	K8943_RS09325	b3083
NZ_CP082949.1_cds_1862	NC_000913.3_cds_NP_417590.2_3068	0.892	102	K8943_RS09500	b3120
NZ_CP082949.1_cds_1863	NC_000913.3_cds_NP_417591.1_3069	0.935	62	K8943_RS09505	b3121
NZ_CP082949.1_cds_2060	NC_000913.3_cds_NP_417791.1_3267	0.96	984	K8943_RS10540	b3332
NZ_CP082949.1_cds_2136	NC_000913.3_cds_NP_417870.1_3347	0.959	594	K8943_RS10920	b3411
NZ_CP082949.1_cds_2176	NC_000913.3_cds_NP_417898.1_3376	0.93	489	K8943_RS11120	b3441
NZ_CP082949.1_cds_2179	NC_000913.3_cds_YP_009518820.1_3381	0.935	156	K8943_RS11135	b4612
NZ_CP082949.1_cds_2232	NC_000913.3_cds_YP_010051205.1_3432	0.947	38	K8943_RS11400	b4792
NZ_CP082949.1_cds_2240	NC_000913.3_cds_b3504_3442	0.907	379	K8943_RS11440	b3504
NZ_CP082949.1_cds_24	NC_000913.3_cds_NP_415955.2_1425	0.97	235	K8943_RS00120	b1438
NZ_CP082949.1_cds_2419	NC_000913.3_cds_NP_414786.4_247	0.772	781	K8943_RS12345	b0252
NZ_CP082949.1_cds_2521	NC_000913.3_cds_b4623_4192	0.973	788	K8943_RS12855	b4623
NZ_CP082949.1_cds_2638	NC_000913.3_ncrna_b4457_177	0.984	193	K8943_RS13510	b4457
NZ_CP082949.1_cds_2673	NC_000913.3_cds_NP_418332.1_3826	0.957	350	K8943_RS13685	b3896
NZ_CP082949.1_cds_2918	NC_000913.3_cds_NP_418545.1_4039	0.936	627	K8943_RS14975	b4121
NZ_CP082949.1_cds_3119	NC_000913.3_cds_b4623_4192	0.973	788	K8943_RS16005	b4623
NZ_CP082949.1_cds_3141	NC_000913.3_cds_NP_418727.1_4216	0.959	548	K8943_RS16115	b4307
